size  shaping  fabric  cap       drawn_armhole  declared   H1(mm)     H2(dev)    H3(dev)
EU46  Dart     Knit   Gathered     405.831117 405.831117   0.000000   0.000000   0.000000
EU46  Dart     Knit   Puffed       405.831117 405.831117   0.000000   0.000000   0.000000
EU46  Princess Woven  Plain        422.163607 422.151076   0.012530   0.000486   0.000000
EU46  Princess Woven  Gathered     422.163607 422.151076   0.012530   0.000000   0.000000
EU46  Princess Woven  Puffed       422.163607 422.151076   0.012530   0.000000   0.000000
EU46  Princess Knit   Plain        405.839827 405.831117   0.008710   0.001176   0.000000
EU46  Princess Knit   Gathered     405.839827 405.831117   0.008710   0.000000   0.000000
EU46  Princess Knit   Puffed       405.839827 405.831117   0.008710   0.000000   0.000000
EU48  Dart     Woven  Plain        456.260358 456.260358   0.000000   0.000986   0.000000
EU48  Dart     Woven  Gathered     456.260358 456.260358   0.000000   0.000000   0.000000
EU48  Dart     Woven  Puffed       456.260358 456.260358   0.000000   0.000000   0.000000
EU48  Dart     Knit   Plain        437.648519 437.648519   0.000000   0.001080   0.000000
EU48  Dart     Knit   Gathered     437.648519 437.648519   0.000000   0.000000   0.000000
EU48  Dart     Knit   Puffed       437.648519 437.648519   0.000000   0.000000   0.000000
EU48  Princess Woven  Plain        456.275837 456.260358   0.015479   0.000950   0.000000
EU48  Princess Woven  Gathered     456.275837 456.260358   0.015479   0.000000   0.000000
EU48  Princess Woven  Puffed       456.275837 456.260358   0.015479   0.000000   0.000000
EU48  Princess Knit   Plain        437.659725 437.648519   0.011206   0.001106   0.000000
EU48  Princess Knit   Gathered     437.659725 437.648519   0.011206   0.000000   0.000000
EU48  Princess Knit   Puffed       437.659725 437.648519   0.011206   0.000000   0.000000

cells=96
worst H1 = 0.015479 mm   (EU48 Princess Woven Plain)   limit 0.79375 mm
worst H2 = 0.001297      (EU36 Princess Woven Plain)   limit 0.0015
worst H3 = 0.000000      (EU42 Dart Knit Puffed)   limit 0.0200
sleeve_armhole_agree_check OK (0 failures)
